Index;Price;Host Since;Host Response Rate;Host Verifications;Neighbourhood Group Cleansed;Longitude;Room Type;Accommodates;Bathrooms;Bedrooms;Amenities;Security Deposit;Cleaning Fee;Guests Included;Extra People;Availability 30;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Calculated host listings count;Reviews per Month;Features
5788;30.0;7;80.0;3;34.44303797468354;-3.759582620453345;32.38965911831498;1;1.0;1.0;15;0.0;0.0;1;0;28;0;92.07111806642322;9.45682451253482;9.377828054298643;9.656794425087108;9.676700887419523;9.550540257929592;9.274708035558655;58.728428701180746;3.0;2.1509986225895266;3
11105;31.0;4;96.04274307186472;3;64.56904097353802;-3.7125216499757343;32.38965911831498;1;2.0;1.0;9;0.0;0.0;1;0;0;0;92.07111806642322;9.45682451253482;9.377828054298643;9.656794425087108;9.676700887419523;9.550540257929592;9.274708035558655;50.39969226382209;17.0;2.1509986225895266;4
1590;30.0;6;98.0;4;47.468992248062015;-3.7067903739509007;80.1381671466533;2;1.0;0.0;7;100.0;60.0;1;5;8;3;73.0;10.0;8.0;10.0;10.0;7.0;9.0;58.728428701180746;44.0;0.32;5
2653;25.0;5;100.0;4;35.503937007874015;-3.6626854008246656;32.38965911831498;2;1.0;1.0;10;0.0;0.0;1;0;8;57;89.0;9.0;9.0;10.0;10.0;8.0;9.0;58.728428701180746;2.0;2.43;5
1684;120.0;4;100.0;4;64.56904097353802;-3.7048914004627336;80.1381671466533;6;2.0;1.0;17;250.0;35.0;4;15;2;45;96.0;10.0;10.0;10.0;10.0;10.0;10.0;65.22549019607843;2.0;4.79;4
9992;39.0;7;96.04274307186472;4;44.16263736263736;-3.718670284708935;32.38965911831498;1;1.0;1.0;18;0.0;0.0;1;0;30;1;92.07111806642322;9.45682451253482;9.377828054298643;9.656794425087108;9.676700887419523;9.550540257929592;9.274708035558655;58.728428701180746;1.0;0.17;5
8994;47.0;5;100.0;5;66.66331658291458;-3.679784946655837;32.38965911831498;2;1.0;1.0;18;350.0;0.0;1;0;7;0;92.07111806642322;9.45682451253482;9.377828054298643;9.656794425087108;9.676700887419523;9.550540257929592;9.274708035558655;50.39969226382209;1.0;2.1509986225895266;5
12271;84.0;8;100.0;5;64.56904097353802;-3.704105582254444;80.1381671466533;4;1.0;1.0;22;0.0;0.0;1;0;5;230;96.0;10.0;9.0;10.0;10.0;10.0;10.0;58.728428701180746;2.0;6.32;6
13492;95.0;6;100.0;4;74.76748971193416;-3.681206746751687;80.1381671466533;5;1.5;3.0;15;0.0;25.0;1;0;4;86;90.0;9.0;9.0;9.0;9.0;10.0;9.0;58.728428701180746;1.0;2.69;4
2515;60.0;6;100.0;4;44.16263736263736;-3.699456294870656;80.1381671466533;3;1.0;1.0;14;200.0;5.0;2;10;0;12;93.0;9.0;10.0;10.0;9.0;9.0;9.0;58.728428701180746;2.0;1.77;4
11377;35.0;8;100.0;6;44.16263736263736;-3.6935334238480326;32.38965911831498;2;1.5;1.0;9;150.0;20.0;1;10;14;22;91.0;9.0;10.0;10.0;10.0;10.0;9.0;58.728428701180746;1.0;0.61;6
6326;22.0;5;100.0;4;60.31679389312977;-3.6978652479710985;32.38965911831498;1;2.0;1.0;10;0.0;0.0;1;0;0;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;58.728428701180746;2.0;0.11;3
2216;46.0;4;100.0;5;64.56904097353802;-3.7032403836050665;80.1381671466533;2;1.0;1.0;7;90.0;30.0;1;0;14;17;81.0;9.0;9.0;9.0;9.0;10.0;8.0;65.22549019607843;8.0;1.48;4
2508;30.0;6;100.0;4;44.16263736263736;-3.6950308285699536;32.38965911831498;3;1.0;1.0;12;100.0;6.0;2;10;15;60;91.0;9.0;9.0;9.0;9.0;9.0;9.0;65.22549019607843;3.0;2.11;4
8869;20.0;6;96.04274307186472;4;44.16263736263736;-3.694207926060431;32.38965911831498;2;1.0;1.0;13;90.0;0.0;1;0;0;0;92.07111806642322;9.45682451253482;9.377828054298643;9.656794425087108;9.676700887419523;9.550540257929592;9.274708035558655;50.39969226382209;1.0;2.1509986225895266;3
